OrderID,ProductID,ProductName,Category,Quantity,UnitPrice,DiscountPercent,LineTotal
ORD10036,P105,Office Chair,Furniture,3,41754.42,20,100210.61
ORD10036,P102,Keyboard,Electronics,2,24729.8,5,46986.62
ORD10036,P108,Pen Pack,Stationery,3,10827.91,0,32483.73
ORD10037,P101,Mouse,Electronics,3,32913.55,20,78992.52
ORD10037,P106,Desk,Furniture,3,35867.62,10,96842.57
ORD10037,P104,Headphones,Electronics,2,20139.92,5,38265.85
ORD10038,P100,Laptop,Electronics,4,14374.33,15,48872.72
ORD10038,P104,Headphones,Electronics,1,40847.43,10,36762.69
ORD10039,P103,Monitor,Electronics,3,8534.95,10,23044.37
ORD10039,P102,Keyboard,Electronics,4,4564.66,0,18258.64
ORD10040,P103,Monitor,Electronics,1,14056.26,20,11245.01
ORD10040,P109,USB Drive,Accessories,3,26654.49,10,71967.12
ORD10040,P106,Desk,Furniture,3,19157.19,20,45977.26
ORD10041,P107,Notebook,Stationery,5,37582.38,0,187911.9
ORD10041,P100,Laptop,Electronics,1,42245.51,5,40133.23
ORD10041,P105,Office Chair,Furniture,1,21353.28,15,18150.29
ORD10042,P108,Pen Pack,Stationery,5,24863.87,15,105671.45
ORD10042,P100,Laptop,Electronics,4,44999.8,10,161999.28
ORD10042,P108,Pen Pack,Stationery,5,29029.59,20,116118.36
ORD10043,P105,Office Chair,Furniture,3,44427.17,15,113289.28
ORD10043,P102,Keyboard,Electronics,4,39110.01,10,140796.04
ORD10043,P103,Monitor,Electronics,3,15032.35,5,42842.2
ORD10044,P101,Mouse,Electronics,1,14965.18,5,14216.92
ORD10045,P100,Laptop,Electronics,3,23861.5,5,68005.27
ORD10045,P109,USB Drive,Accessories,5,24042.12,20,96168.48
ORD10045,P106,Desk,Furniture,2,14553.62,15,24741.15
ORD10046,P104,Headphones,Electronics,5,34943.12,10,157244.04
ORD10047,P101,Mouse,Electronics,5,1475.55,15,6271.09
ORD10047,P109,USB Drive,Accessories,1,308.22,20,246.58
ORD10048,P105,Office Chair,Furniture,3,18516.33,5,52771.54
ORD10049,P108,Pen Pack,Stationery,2,37070.55,15,63019.94
ORD10049,P104,Headphones,Electronics,5,40147.16,10,180662.22
ORD10049,P102,Keyboard,Electronics,1,35329.44,10,31796.5
ORD10050,P100,Laptop,Electronics,2,19271.63,20,30834.61
ORD10051,P109,USB Drive,Accessories,1,40448.42,20,32358.74
ORD10051,P108,Pen Pack,Stationery,5,46463.77,0,232318.85
ORD10052,P100,Laptop,Electronics,3,24811.59,0,74434.77
ORD10053,P102,Keyboard,Electronics,2,41423.55,15,70420.04
ORD10054,P109,USB Drive,Accessories,3,32698.43,5,93190.53
ORD10054,P108,Pen Pack,Stationery,5,41425.6,15,176058.8
ORD10054,P109,USB Drive,Accessories,5,43676.66,15,185625.81
ORD10055,P106,Desk,Furniture,5,16612.61,20,66450.44
ORD10056,P106,Desk,Furniture,3,2545.44,20,6109.06
ORD10057,P100,Laptop,Electronics,3,28458.61,0,85375.83
ORD10057,P100,Laptop,Electronics,5,39087.1,20,156348.4
ORD10057,P103,Monitor,Electronics,2,26407.8,5,50174.82
ORD10058,P104,Headphones,Electronics,3,894.53,5,2549.41
ORD10059,P101,Mouse,Electronics,5,858.22,15,3647.44
ORD10059,P109,USB Drive,Accessories,2,45702.67,10,82264.81
ORD10059,P106,Desk,Furniture,4,48751.86,20,156005.95
ORD10060,P109,USB Drive,Accessories,5,795.16,5,3777.01
ORD10061,P109,USB Drive,Accessories,1,21704.71,0,21704.71
ORD10062,P109,USB Drive,Accessories,1,41210.64,10,37089.58
ORD10063,P107,Notebook,Stationery,5,38855.28,15,165134.94
ORD10064,P108,Pen Pack,Stationery,5,20497.42,0,102487.1
ORD10064,P106,Desk,Furniture,5,27587.67,0,137938.35
ORD10065,P100,Laptop,Electronics,1,36589.65,0,36589.65
ORD10066,P108,Pen Pack,Stationery,4,42242.43,15,143624.26
ORD10067,P105,Office Chair,Furniture,5,17156.11,15,72913.47
ORD10067,P105,Office Chair,Furniture,2,12236.67,0,24473.34
ORD10067,P108,Pen Pack,Stationery,5,30005.71,20,120022.84
ORD10068,P100,Laptop,Electronics,5,44507.24,10,200282.58
ORD10068,P102,Keyboard,Electronics,2,48256.88,5,91688.07
ORD10068,P101,Mouse,Electronics,2,31896.52,0,63793.04
ORD10069,P100,Laptop,Electronics,5,20477.76,15,87030.48
ORD10070,P103,Monitor,Electronics,4,31026.59,5,117901.04
ORD10071,P105,Office Chair,Furniture,5,41604.29,20,166417.16
ORD10071,P108,Pen Pack,Stationery,5,40122.28,5,190580.83
ORD10071,P109,USB Drive,Accessories,3,31756.43,20,76215.43
ORD10072,P105,Office Chair,Furniture,3,46374.93,20,111299.83
ORD10073,P107,Notebook,Stationery,4,27677.53,0,110710.12
ORD10073,P108,Pen Pack,Stationery,5,13955.72,10,62800.74
ORD10073,P102,Keyboard,Electronics,4,40771.93,20,130470.18
ORD10074,P109,USB Drive,Accessories,2,2598.61,15,4417.64
ORD10074,P108,Pen Pack,Stationery,4,9261.96,20,29638.27
ORD10074,P105,Office Chair,Furniture,5,5119.31,5,24316.72
ORD10075,P103,Monitor,Electronics,2,40722.64,5,77373.02
ORD10076,P107,Notebook,Stationery,2,12848.88,15,21843.1
ORD10076,P109,USB Drive,Accessories,3,37922.91,0,113768.73
ORD10077,P100,Laptop,Electronics,3,25028.24,5,71330.48
ORD10077,P104,Headphones,Electronics,2,236.32,0,472.64
ORD10077,P102,Keyboard,Electronics,5,40763.34,0,203816.7
ORD10078,P101,Mouse,Electronics,3,12629.15,15,32204.33
ORD10079,P102,Keyboard,Electronics,2,3352.61,20,5364.18
ORD10080,P103,Monitor,Electronics,1,18016.51,5,17115.68
ORD10081,P109,USB Drive,Accessories,2,13557.73,20,21692.37
ORD10082,P102,Keyboard,Electronics,1,15847.38,5,15055.01
ORD10082,P108,Pen Pack,Stationery,3,39490.04,5,112546.61
ORD10082,P104,Headphones,Electronics,5,48166.65,20,192666.6
ORD10083,P101,Mouse,Electronics,4,30192.94,0,120771.76
ORD10084,P108,Pen Pack,Stationery,4,46215.48,0,184861.92
ORD10084,P107,Notebook,Stationery,3,10526.69,20,25264.06
ORD10085,P106,Desk,Furniture,5,33480.63,15,142292.68
ORD10085,P107,Notebook,Stationery,1,11007.27,15,9356.18
ORD10086,P100,Laptop,Electronics,2,42857.39,15,72857.56
ORD10087,P104,Headphones,Electronics,1,8846.87,10,7962.18
ORD10088,P101,Mouse,Electronics,4,7428.79,20,23772.13
ORD10089,P103,Monitor,Electronics,1,27380.26,15,23273.22
ORD10089,P103,Monitor,Electronics,1,7517.37,0,7517.37
ORD10089,P100,Laptop,Electronics,3,9970.59,0,29911.77
ORD10090,P103,Monitor,Electronics,1,9085.36,0,9085.36
ORD10090,P103,Monitor,Electronics,2,10027.98,15,17047.57
ORD10090,P106,Desk,Furniture,2,38144.75,15,64846.07
ORD10091,P105,Office Chair,Furniture,4,9538.77,5,36247.33
ORD10091,P107,Notebook,Stationery,2,4422.72,0,8845.44
ORD10091,P109,USB Drive,Accessories,1,7026.2,10,6323.58
ORD10092,P106,Desk,Furniture,3,36660.26,20,87984.62
ORD10093,P100,Laptop,Electronics,5,11757.97,10,52910.86
ORD10093,P102,Keyboard,Electronics,5,43187.65,20,172750.6
ORD10094,P109,USB Drive,Accessories,5,31731.66,15,134859.55
ORD10094,P106,Desk,Furniture,3,12121.34,5,34545.82
ORD10094,P104,Headphones,Electronics,3,21441.2,0,64323.6
ORD10095,P105,Office Chair,Furniture,4,19683.06,15,66922.4
ORD10095,P101,Mouse,Electronics,4,21588.82,15,73401.99
ORD10095,P101,Mouse,Electronics,1,3840.11,10,3456.1
ORD10096,P105,Office Chair,Furniture,5,12115.4,5,57548.15
ORD10096,P108,Pen Pack,Stationery,1,37097.67,20,29678.14
ORD10096,P104,Headphones,Electronics,3,49258.81,10,132998.79
ORD10097,P101,Mouse,Electronics,4,48786.99,20,156118.37
ORD10097,P102,Keyboard,Electronics,1,47809.83,15,40638.36
ORD10098,P106,Desk,Furniture,2,22900.04,5,43510.08
ORD10099,P103,Monitor,Electronics,3,45865.47,20,110077.13
ORD10100,P107,Notebook,Stationery,4,26551.39,10,95585
